| Role                  | Primary Model        | Backup Model       | Why                                                        |
| --------------------- | -------------------- | ------------------ | ---------------------------------------------------------- |
| **architect**         | GPT-4.1              | Claude Sonnet 4.5  | Strong systems reasoning, decomposition, and routing logic |
| **intent_translator** | Claude Sonnet 4.5    | GPT-4.1            | Best at turning fuzzy human intent into precise specs      |
| **product_owner**     | GPT-4.1              | Claude Sonnet 4.5  | Business logic validation + traceability                   |
| **discovery_analyst** | Gemini 3 Pro Preview | GPT-5.3 Codex      | Massive context scanning + repo comprehension              |
| **planner**           | Claude Sonnet 4.5    | GPT-4.1            | Risk analysis, phased planning, and packet construction    |
| **builder**           | GPT-5.3 Codex        | GPT-5.1 Codex Max  | Exact implementation from task packet                      |
| **backend_engineer**  | GPT-5.3 Codex        | GPT-5.1 Codex Max  | Python/DB/API accuracy                                     |
| **frontend_engineer** | GPT-5.3 Codex        | Claude Sonnet 4.5  | React/UI + layout reasoning                                |
| **edge_engineer**     | GPT-5.3 Codex        | GPT-5.1 Codex Max  | Low-level C++ + performance                                |
| **reviewer**          | Claude Sonnet 4.5    | GPT-4.1            | Excellent at detecting scope creep & logic gaps            |
| **qa**                | Claude Sonnet 4.5    | GPT-4.1            | Test design & adversarial thinking                         |
| **devops**            | GPT-5.3 Codex        | GPT-5.1 Codex Mini | Shell, YAML, CI/CD precision                               |
| **security_warden**   | Claude Sonnet 4.5    | GPT-4.1            | Threat modeling + vulnerability patterns                   |
